1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1982:Q3,-22853.00,-64.00,-3700.00,-2635.00,-2512.00,-5445.00,-773.00,-11.00,-4661.00,-6576.00,-177.00,7506.00,-9251.00,11895.00,-2644.00
1982:Q4,19957.00,-36.00,-79.00,-3228.00,8507.00,8895.00,-16.00,29.00,8882.00,40502.00,-1800.00,-34527.00,1723.00,4652.00,-6375.00
1983:Q1,-27901.00,-58.00,5176.00,-10082.00,-11938.00,-4470.00,235.00,27.00,-4732.00,-29160.00,1568.00,27565.00,-6502.00,514.00,5988.00
1983:Q2,-37342.00,-46.00,-1310.00,1635.00,-6426.00,53.00,157.00,16.00,-120.00,-16658.00,214.00,-1019.00,-13784.00,9029.00,4755.00
1983:Q3,-46404.00,-39.00,276.00,1418.00,203.00,-3094.00,-250.00,16.00,-2860.00,-32015.00,1133.00,8802.00,-23088.00,25423.00,-2335.00
1983:Q4,7035.00,-78.00,-489.00,-6950.00,6093.00,11719.00,1441.00,3.00,10275.00,31048.00,-6363.00,-15906.00,-12039.00,19192.00,-7153.00
1984:Q1,7858.00,17.00,1601.00,5193.00,545.00,-6105.00,-445.00,9.00,-5669.00,-28318.00,-2980.00,48798.00,-10893.00,1427.00,9466.00
1984:Q2,-28544.00,-69.00,1276.00,816.00,-8525.00,2701.00,-334.00,14.00,3021.00,-11880.00,5342.00,-6411.00,-11794.00,6835.00,4960.00
1984:Q3,-5702.00,-41.00,-1505.00,810.00,10692.00,-5567.00,1033.00,8.00,-6607.00,-23446.00,2754.00,26205.00,-15605.00,19319.00,-3714.00
1984:Q4,-14721.00,-40.00,-494.00,259.00,-15017.00,7581.00,212.00,7.00,7362.00,33978.00,-75.00,-39241.00,-1672.00,11048.00,-9376.00
1985:Q1,22221.00,107.00,2637.00,-2560.00,-17502.00,-2828.00,444.00,7.00,-3279.00,-33552.00,-861.00,84325.00,-7545.00,-2058.00,9603.00
1985:Q2,28710.00,-177.00,-2280.00,-852.00,-12421.00,883.00,246.00,8.00,629.00,-2253.00,6845.00,55990.00,-17025.00,9725.00,7300.00
1985:Q3,30548.00,-61.00,3657.00,-351.00,-2632.00,-2791.00,-172.00,8.00,-2627.00,-10392.00,-412.00,62299.00,-18769.00,23323.00,-4554.00
1985:Q4,42092.00,-116.00,1717.00,2126.00,918.00,6837.00,813.00,8.00,6016.00,51301.00,-2219.00,-9124.00,-9348.00,20272.00,-10924.00
1986:Q1,-24453.00,56.00,2438.00,-10899.00,17094.00,-8002.00,-1191.00,8.00,-6819.00,-19035.00,-3313.00,9457.00,-12250.00,3213.00,9037.00
1986:Q2,-41584.00,-30.00,2248.00,-3720.00,-2195.00,1494.00,743.00,7.00,744.00,-21071.00,8180.00,-59.00,-26431.00,19458.00,6973.00
1986:Q3,-40966.00,-32.00,9453.00,2246.00,-8091.00,-8797.00,-55.00,7.00,-8749.00,-9387.00,806.00,497.00,-27662.00,32222.00,-4560.00
1986:Q4,-82159.00,-20.00,6375.00,-2971.00,12.00,5778.00,-110.00,6.00,5882.00,55491.00,186.00,-135157.00,-11853.00,21851.00,-9998.00
1987:Q1,-14984.00,-40.00,-1389.00,7098.00,-2359.00,-9064.00,-545.00,6.00,-8525.00,-24371.00,340.00,27746.00,-12945.00,4365.00,8580.00
1987:Q2,-53579.00,-47.00,4670.00,-4165.00,-13937.00,4085.00,1456.00,5.00,2624.00,-19638.00,7124.00,-16603.00,-15068.00,6933.00,8135.00
