1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q2,1826728.00,0.00,77301.00,223030.00,0.00,112595.00,70564.00,0.00,31642.00,10389.00,39185.00,-908.00,40093.00,0.00,477302.00,23306.00,0.00,94378.00,328362.00,206948.00,121414.00,435407.00,15862.00,277476.00,0.00,271958.00,175801.00,72217.00,3756.00,13531.00,6653.00,2760.00,2758.00
1963:Q3,1862577.00,0.00,80017.00,227746.00,0.00,112981.00,71976.00,0.00,31128.00,9877.00,39325.00,-994.00,40319.00,0.00,497411.00,24118.00,0.00,95473.00,334218.00,209575.00,124643.00,435270.00,16018.00,284993.00,0.00,279337.00,180662.00,74362.00,3373.00,14161.00,6779.00,2850.00,2806.00
1963:Q4,1857789.00,0.00,82063.00,234936.00,0.00,115129.00,72892.00,0.00,32094.00,10143.00,39382.00,-1146.00,40528.00,0.00,469895.00,24819.00,0.00,96635.00,340285.00,212321.00,127964.00,438467.00,16178.00,294004.00,0.00,288211.00,185106.00,77870.00,3794.00,14502.00,6939.00,2940.00,2853.00
1964:Q1,1903804.00,0.00,79350.00,240745.00,0.00,116675.00,74239.00,0.00,32475.00,9961.00,40727.00,-153.00,40880.00,0.00,499442.00,26433.00,0.00,97719.00,346742.00,214218.00,132524.00,439582.00,16389.00,297969.00,0.00,292001.00,188776.00,78041.00,3561.00,14538.00,7085.00,3070.00,2898.00
1964:Q2,1940762.00,0.00,79904.00,247988.00,0.00,117118.00,74497.00,0.00,33112.00,9509.00,39781.00,-1377.00,41158.00,0.00,515081.00,27156.00,0.00,98806.00,353281.00,215877.00,137404.00,445036.00,16611.00,307566.00,0.00,301505.00,193368.00,81812.00,4366.00,14718.00,7241.00,3120.00,2941.00
1964:Q3,1984595.00,0.00,84711.00,253567.00,0.00,118250.00,74484.00,0.00,34138.00,9628.00,41040.00,-573.00,41613.00,0.00,532323.00,28523.00,0.00,99913.00,360086.00,218835.00,141251.00,449319.00,16863.00,314378.00,0.00,308222.00,198076.00,84142.00,3863.00,14749.00,7392.00,3170.00,2986.00
1964:Q4,2022136.00,0.00,84854.00,261041.00,0.00,118960.00,73571.00,245.00,34854.00,10290.00,41275.00,-823.00,42098.00,0.00,544127.00,28447.00,0.00,101051.00,367066.00,222294.00,144772.00,458152.00,17163.00,323369.00,0.00,317130.00,202335.00,87352.00,5134.00,14765.00,7544.00,3200.00,3039.00
1965:Q1,2058188.00,0.00,82506.00,268791.00,0.00,120460.00,76555.00,21.00,33771.00,10113.00,41419.00,-756.00,42175.00,0.00,557830.00,29751.00,0.00,102149.00,374249.00,225596.00,148653.00,463552.00,17481.00,326864.00,0.00,320497.00,205891.00,87645.00,4309.00,14930.00,7722.00,3270.00,3097.00
1965:Q2,2054955.00,0.00,82788.00,275058.00,0.00,120223.00,76144.00,618.00,33792.00,9669.00,41802.00,-678.00,42480.00,0.00,534567.00,29291.00,0.00,103382.00,381287.00,229868.00,151419.00,468733.00,17824.00,336469.00,0.00,329929.00,210329.00,92243.00,4292.00,15156.00,7909.00,3380.00,3160.00
1965:Q3,2130958.00,0.00,88801.00,280622.00,0.00,121773.00,75984.00,909.00,34915.00,9965.00,41843.00,-548.00,42391.00,0.00,581085.00,32050.00,0.00,104656.00,389515.00,231974.00,157541.00,472429.00,18184.00,343385.00,0.00,336667.00,215042.00,94391.00,3929.00,15215.00,8090.00,3490.00,3228.00
